[0.0s - 18.0s] اَللہ اکبر اَللہ اکبر
[18.0s - 32.0s] اَللہ اکبر اَللہ اکبر
[32.0s - 47.0s] اَشْهَدُ اَللہ اَللہ اَللہ
[48.0s - 64.0s] اَشْهَدُ اَللہ اَللہ اَللہ
[64.0s - 77.0s] اَشْهَدُ اَنَّ مُحَمَّدَ الرَّسُولُ اللَّهِ
[77.0s - 78.0s] اَشْهَدُ اَللہ اَللہ اَللہ اَللہ
[78.0s - 95.0s] اَشْهَدُ اَنَّ مُحَمَّدَ الرَّسُولُ اللَّهِ
[671.0s - 701.0s] قرآن محمد صلی اللہ علیہ وسلم
[701.0s - 731.0s] قرآن محمد صلی اللہ علیہ وسلم
[731.0s - 761.0s] قرآن محمد صلی اللہ علیہ وسلم
[761.0s - 791.0s] قرآن محمد صلی اللہ علیہ وسلم
[791.0s - 821.0s] قرآن محمد صلی اللہ علیہ وسلم
[821.0s - 851.0s] قرآن محمد صلی اللہ علیہ وسلم
[851.0s - 881.0s] قرآن محمد صلی اللہ علیہ وسلم
[881.0s - 911.0s] قرآن محمد صلی اللہ علیہ وسلم
[911.0s - 941.0s] قرآن محمد صلی اللہ علیہ وسلم
[941.0s - 971.0s] قرآن محمد صلی اللہ علیہ وسلم
[971.0s - 1001.0s] قرآن محمد صلی اللہ علیہ وسلم
[1001.0s - 1031.0s] قرآن محمد صلی اللہ علیہ وسلم
[1031.0s - 1061.0s] قرآن محمد صلی اللہ علیہ وسلم
[1061.0s - 1090.8s] قرآن محمد صلی اللہ علیہ وسلم
[1090.8s - 1090.9s] قرآن محمد صلی اللہ علیہ وسلم
[1090.9s - 1120.8s] قرآن محمد صلی اللہ علیہ وسلم
[1120.9s - 1150.8s] قرآن محمد صلی اللہ علیہ وسلم
[1150.9s - 1180.8s] قرآن محمد صلی اللہ علیہ وسلم
[1180.9s - 1210.8s] قرآن محمد صلی اللہ علیہ وسلم
[1210.9s - 1240.8s] قرآن محمد صلی اللہ علیہ وسلم
[1240.9s - 1270.8s] قرآن محمد صلی اللہ علیہ وسلم
[1270.9s - 1300.8s] قرآن محمد صلی اللہ علیہ وسلم
[1300.9s - 1330.8s] قرآن محمد صلی اللہ علیہ وسلم
[1330.9s - 1360.8s] قرآن محمد صلی اللہ علیہ وسلم
[1360.9s - 1390.8s] قرآن محمد صلی اللہ علیہ وسلم
[1390.9s - 1420.8s] قرآن محمد صلی اللہ علیہ وسلم
[1420.9s - 1450.8s] قرآن محمد صلی اللہ علیہ وسلم
[1450.9s - 1480.8s] قرآن محمد صلی اللہ علیہ وسلم
[1480.9s - 1510.8s] قرآن محمد صلی اللہ علیہ وسلم
[1510.9s - 1540.8s] قرآن محمد صلی اللہ علیہ وسلم
[1540.9s - 1549.5s] قرآن محمد صلی اللہ علیہ وسلم
[1549.5s - 1570.8s] قرآن محمد صلی اللہ علیہ وسلم
[1570.9s - 1572.9s] قرآن محمد صلی اللہ علیہ وسلم
[1572.9s - 1600.8s] قرآن محمد صلی اللہ علیہ وسلم
[1600.9s - 1630.8s] قرآن محمد صلی اللہ علیہ وسلم
[1630.9s - 1660.8s] قرآن محمد صلی اللہ علیہ وسلم
[1660.9s - 1690.8s] قرآن محمد صلی اللہ علیہ وسلم
[1690.9s - 1720.8s] قرآن محمد صلی اللہ علیہ وسلم
[1720.9s - 1750.8s] قرآن محمد صلی اللہ علیہ وسلم
[1750.9s - 1780.8s] قرآن محمد صلی اللہ علیہ وسلم
[1780.9s - 1810.8s] قرآن محمد صلی اللہ علیہ وسلم
[1810.9s - 1840.8s] قرآن محمد صلی اللہ علیہ وسلم
[1840.9s - 1870.8s] قرآن محمد صلی اللہ علیہ وسلم
[1870.8s - 1900.8s] قرآن محمد صلی اللہ علیہ وسلم
[1900.8s - 1930.8s] قرآن محمد صلی اللہ علیہ وسلم
[1930.8s - 1960.8s] قرآن محمد صلی اللہ علیہ وسلم
[1960.8s - 1990.8s] قرآن محمد صلی اللہ علیہ وسلم
[1990.8s - 2020.8s] قرآن محمد صلی اللہ علیہ وسلم
[2020.8s - 2050.8s] قرآن محمد صلی اللہ علیہ وسلم
[2050.8s - 2052.8s] قرآن محمد صلی اللہ علیہ وسلم
[2052.8s - 2080.8s] قرآن محمد صلی اللہ علیہ وسلم
[2080.8s - 2110.8s] قرآن محمد صلی اللہ علیہ وسلم
[2110.8s - 2140.8s] قرآن محمد صلی اللہ علیہ وسلم
[2140.8s - 2170.8s] قرآن محمد صلی اللہ علیہ وسلم
[2170.8s - 2200.8s] قرآن محمد صلی اللہ علیہ وسلم
[2200.8s - 2230.8s] قرآن محمد صلی اللہ علیہ وسلم
[2230.8s - 2260.8s] قرآن محمد صلی اللہ علیہ وسلم
[2260.8s - 2290.8s] قرآن محمد صلی اللہ علیہ وسلم
[2290.8s - 2320.8s] قرآن محمد صلی اللہ علیہ وسلم
[2320.8s - 2350.8s] قرآن محمد صلی اللہ علیہ وسلم
[2350.8s - 2380.8s] قرآن محمد صلی اللہ علیہ وسلم
[2380.8s - 2410.8s] قرآن محمد صلی اللہ علیہ وسلم
[2410.8s - 2440.8s] قرآن محمد صلی اللہ علیہ وسلم
[2440.8s - 2470.8s] قرآن محمد صلی اللہ علیہ وسلم
[2470.8s - 2500.8s] قرآن محمد صلی اللہ علیہ وسلم
[2500.8s - 2530.8s] قرآن محمد صلی اللہ علیہ وسلم
[2530.8s - 2560.8s] قرآن محمد صلی اللہ علیہ وسلم
[2560.8s - 2590.8s] قرآن محمد صلی اللہ علیہ وسلم
[2590.8s - 2620.8s] قرآن محمد صلی اللہ علیہ وسلم
[2620.8s - 2650.8s] قرآن محمد صلی اللہ علیہ وسلم
[2650.8s - 2680.8s] قرآن محمد صلی اللہ علیہ وسلم
[2680.8s - 2710.8s] قرآن محمد صلی اللہ علیہ وسلم
[2710.8s - 2740.8s] قرآن محمد صلی اللہ علیہ وسلم
[2740.8s - 2770.8s] قرآن محمد صلی اللہ علیہ وسلم
[2770.8s - 2800.8s] قرآن محمد صلی اللہ علیہ وسلم
[2800.8s - 2830.8s] قرآن محمد صلی اللہ علیہ وسلم
[2830.8s - 2860.2s] قرآن محمد صلی اللہ علیہ وسلم
[2860.2s - 2860.7s] قرآن محمد صلی اللہ علیہ وسلم
[2860.7s - 2890.7s] قرآن محمد صلی اللہ علیہ وسلم
[2890.7s - 2920.7s] قرآن محمد صلی اللہ علیہ وسلم
[2920.7s - 2950.7s] قرآن محمد صلی اللہ علیہ وسلم
[2950.7s - 2980.7s] قرآن محمد صلی اللہ علیہ وسلم
[2980.7s - 3010.7s] قرآن محمد صلی اللہ علیہ وسلم
[3010.7s - 3040.7s] قرآن محمد صلی اللہ علیہ وسلم
[3040.7s - 3070.7s] قرآن محمد صلی اللہ علیہ وسلم
[3070.7s - 3100.7s] قرآن محمد صلی اللہ علیہ وسلم
[3100.7s - 3130.7s] قرآن محمد صلی اللہ علیہ وسلم
[3130.7s - 3160.7s] قرآن محمد صلی اللہ علیہ وسلم
[3160.7s - 3190.7s] قرآن محمد صلی اللہ علیہ وسلم
[3190.7s - 3220.7s] قرآن محمد صلی اللہ علیہ وسلم
[3220.7s - 3250.7s] قرآن محمد صلی اللہ علیہ وسلم
[3250.7s - 3280.7s] قرآن محمد صلی اللہ علیہ وسلم
[3280.7s - 3310.7s] قرآن محمد صلی اللہ علیہ وسلم
[3310.7s - 3340.7s] قرآن محمد صلی اللہ علیہ وسلم
[3340.7s - 3370.7s] قرآن محمد صلی اللہ علیہ وسلم
[3370.7s - 3400.7s] قرآن محمد صلی اللہ علیہ وسلم
[3400.7s - 3430.7s] قرآن محمد صلی اللہ علیہ وسلم
[3430.7s - 3460.7s] قرآن محمد صلی اللہ علیہ وسلم
[3460.7s - 3490.7s] قرآن محمد صلی اللہ علیہ وسلم
[3490.7s - 3520.7s] قرآن محمد صلی اللہ علیہ وسلم
[3520.7s - 3550.7s] قرآن محمد صلی اللہ علیہ وسلم
[3550.7s - 3580.7s] قرآن محمد صلی اللہ علیہ وسلم
[3580.7s - 3610.7s] قرآن محمد صلی اللہ علیہ وسلم
[3610.7s - 3640.7s] قرآن محمد صلی اللہ علیہ وسلم
[3640.7s - 3670.7s] قرآن محمد صلی اللہ علیہ وسلم
[3670.7s - 3700.7s] قرآن محمد صلی اللہ علیہ وسلم
[3700.7s - 3730.7s] قرآن محمد صلی اللہ علیہ وسلم
[3730.7s - 3760.7s] قرآن محمد صلی اللہ علیہ وسلم
[3760.7s - 3790.7s] قرآن محمد صلی اللہ علیہ وسلم
[3790.7s - 3820.7s] قرآن محمد صلی اللہ علیہ وسلم
[3820.7s - 3850.5s] قرآن محمد صلی اللہ علیہ وسلم
[3850.5s - 3850.5s] قرآن محمد صلی اللہ علیہ وسلم
[3850.5s - 3880.5s] قرآن محمد صلی اللہ علیہ وسلم
[3880.5s - 3910.5s] قرآن محمد صلی اللہ علیہ وسلم
[3910.5s - 3940.5s] قرآن محمد صلی اللہ علیہ وسلم
[3940.5s - 3970.5s] قرآن محمد صلی اللہ علیہ وسلم
[3970.5s - 4000.5s] قرآن محمد صلی اللہ علیہ وسلم
[4000.5s - 4030.5s] قرآن محمد صلی اللہ علیہ وسلم
[4030.5s - 4060.5s] قرآن محمد صلی اللہ علیہ وسلم
[4060.5s - 4090.5s] قرآن محمد صلی اللہ علیہ وسلم
[4090.5s - 4120.5s] قرآن محمد صلی اللہ علیہ وسلم
[4120.5s - 4150.5s] قرآن محمد صلی اللہ علیہ وسلم
[4150.5s - 4180.5s] قرآن محمد صلی اللہ علیہ وسلم
[4180.5s - 4210.5s] قرآن محمد صلی اللہ علیہ وسلم
[4210.5s - 4240.5s] قرآن محمد صلی اللہ علیہ وسلم
[4240.5s - 4270.5s] قرآن محمد صلی اللہ علیہ وسلم
[4270.5s - 4300.5s] قرآن محمد صلی اللہ علیہ وسلم
[4300.5s - 4330.5s] قرآن محمد صلی اللہ علیہ وسلم
[4330.5s - 4360.5s] قرآن محمد صلی اللہ علیہ وسلم
[4360.5s - 4390.5s] قرآن محمد صلی اللہ علیہ وسلم
[4390.5s - 4420.5s] قرآن محمد صلی اللہ علیہ وسلم
